crate,file,modified,deps_count,features_count,target_id,profile_id
futures-sink,lib-futures_sink.json,2026-01-25 18:31:53,0,27,10827111567014737887,336243669335521001
syn,lib-syn.json,2026-01-25 17:08:57,3,62,9442126953582868550,3033921117576893
itertools,lib-itertools.json,2026-01-25 19:02:23,1,35,9541170365560449339,5347358027863023418
smallvec,lib-smallvec.json,2026-01-25 18:31:53,0,18,9091769176333489034,8276155916380437441
rust_ui_poc,bin-rust_ui_poc.json,2026-01-25 18:36:11,3,2,3179107961083900654,6675295047989516842
futures-io,lib-futures_io.json,2026-01-25 18:31:53,0,7,5742820543410686210,336243669335521001
zerovec,lib-zerovec.json,2026-01-25 18:49:42,3,18,1825474209729987087,8276155916380437441
tinystr,lib-tinystr.json,2026-01-25 19:02:23,2,11,161691779326313357,5347358027863023418
http-body,lib-http_body.json,2026-01-25 18:36:07,3,2,1208890678314400944,5347358027863023418
cassowary,lib-cassowary.json,2026-01-25 18:49:38,0,2,10353004457644949388,8276155916380437441
rustversion,run-build-script-build-script-build.json,2026-01-25 18:49:38,1,0,0,0
num-conv,lib-num_conv.json,2026-01-25 22:08:11,0,2,8759765779269301280,16952665498096833435
rust_ui_poc,bin-rust_ui_poc.json,2026-01-25 18:32:25,3,2,3179107961083900654,2330448797067240312
serde_json,lib-serde_json.json,2026-01-25 18:36:08,5,18,9592559880233824070,5347358027863023418
security-framework-sys,lib-security_framework_sys.json,2026-01-25 18:31:55,2,62,16383770981727416183,3257467264450303931
rustls-pemfile,lib-rustls_pemfile.json,2026-01-25 18:36:08,1,2,11563635400654898068,5347358027863023418
log,lib-log.json,2026-01-25 18:36:08,0,2,6550155848337067049,5347358027863023418
libc,build-script-build-script-build.json,2026-01-25 18:31:53,0,18,5408242616063297496,3039969951022573740
libc,lib-libc.json,2026-01-25 18:36:07,1,18,17682796336736096309,13030054270579460295
rustversion,lib-rustversion.json,2026-01-25 18:49:38,1,2,179193587114931863,3033921117576893
serde_json,lib-serde_json.json,2026-01-25 18:31:55,5,18,9592559880233824070,8276155916380437441
lock_api,lib-lock_api.json,2026-01-25 19:02:22,1,27,16157403318809843794,5347358027863023418
serde,build-script-build-script-build.json,2026-01-25 17:08:55,0,44,5408242616063297496,3033921117576893
tower-service,lib-tower_service.json,2026-01-25 18:31:54,0,2,4262671303997282168,8276155916380437441
serde,lib-serde.json,2026-01-25 18:36:08,3,44,11327258112168116673,5347358027863023418
deranged,lib-deranged.json,2026-01-25 22:08:12,1,23,17941053073926740948,14231800122567354148
zerofrom,lib-zerofrom.json,2026-01-25 18:36:06,1,10,723370850876025358,5347358027863023418
rustix,lib-rustix.json,2026-01-25 18:31:56,4,33,16221545317719767766,1635897669010708261
rustix,run-build-script-build-script-build.json,2026-01-25 18:31:55,1,0,0,0
equivalent,lib-equivalent.json,2026-01-25 18:31:53,0,2,1524667692659508025,8276155916380437441
zerofrom,lib-zerofrom.json,2026-01-25 19:02:22,1,10,723370850876025358,5347358027863023418
either,lib-either.json,2026-01-25 18:49:37,0,18,17124342308084364240,8276155916380437441
crossterm,lib-crossterm.json,2026-01-25 18:49:38,6,51,7162149947039624270,8276155916380437441
zerotrie,lib-zerotrie.json,2026-01-25 18:49:41,3,20,12445875338185814621,8276155916380437441
fastrand,lib-fastrand.json,2026-01-25 18:36:06,0,27,9543367341069791401,5347358027863023418
libc,run-build-script-build-script-build.json,2026-01-25 18:31:55,1,0,0,0
parking_lot_core,lib-parking_lot_core.json,2026-01-25 19:02:22,4,2,12558056885032795287,5347358027863023418
icu_locale_core,lib-icu_locale_core.json,2026-01-25 19:02:23,5,11,7234736894702847895,5347358027863023418
bitflags,lib-bitflags.json,2026-01-25 18:31:54,0,11,12919857562465245259,8276155916380437441
core-foundation,lib-core_foundation.json,2026-01-25 18:36:07,2,19,3908465493571680068,5347358027863023418
zerovec-derive,lib-zerovec_derive.json,2026-01-25 18:31:56,3,2,14030368369369144574,3033921117576893
