depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.548692107,2.625177622,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,467.151733398,809.130554199,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.043268725,0.500000000,0.996079981,0.000000000,0.006603669,0.000000000,0.000000000,68.133567810,"false",global_robust,3,3,3.194700956,467.151733398,5.533384323,809.130554199,27,12,2,3,0.010000000,0.019607844,0.000000000
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,7,2.104417086,1.722563505,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,7,257.894500732,441.114349365,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.037716039,0.555997312,0.996079981,0.014550000,0.037716039,0.284146607,0.000600000,68.133567810,"false",global_robust,7,0,0.419884324,257.894500732,0.717528105,441.114349365,189,84,0,4,0.010000000,0.000000000,0.000000000
3,0.487531245,-0.003986626,0.000000000,0.000000000,0.000000000,0,1.000000000,11,1.970791817,0.092760444,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,81,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:28|Reliability:15|Structural:20",1.597325206,6,11,266.196411133,400.482604980,0.314392447,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.809375405,0.996079981,0.014550000,0.000000000,0.190624610,0.000600000,68.133567810,"false",global_robust,11,1,1.675521493,266.196411133,3.035346746,400.482604980,495,220,1,4,0.010000000,0.003322259,0.000000000
4,0.483733624,-0.003797644,0.000000000,0.000000000,0.000000000,0,1.000000000,12,6.299348354,0.844915092,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:6|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:20",1.559528708,6,12,256.832550049,413.819091797,0.388403744,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.898108482,0.996159971,0.022671429,0.000000000,0.101891533,0.000600000,68.133567810,"false",global_robust,12,1,2.272227526,256.832550049,5.841165066,413.819091797,594,264,1,4,0.010000000,0.003322259,0.000000000
5,0.479955852,-0.003777774,0.000000000,0.000000000,0.000000000,0,1.000000000,5,0.688276947,1.812716842,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,76,"ConstraintPropagation:7|Cost:3|Performance:5|Refactor:28|Reliability:15|Structural:18",1.555554867,6,5,205.137969971,190.367309570,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.929302514,0.996159971,0.029100001,0.000000000,0.070697471,0.000680000,68.133567810,"false",global_robust,5,1,0.880516529,205.137969971,0.920874357,190.367309570,90,40,1,4,0.010000000,0.003322259,0.000000000
6,0.476085961,-0.003869873,0.000000000,0.000000000,0.000000000,0,1.000000000,4,4.957192421,1.918195844,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,65,"ConstraintPropagation:7|Cost:3|Performance:4|Refactor:24|Reliability:13|Structural:14",1.573974609,6,4,1809.508422852,3079.250488281,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.944969475,0.996079981,0.026957143,0.000000000,0.055030547,0.000680000,68.133567810,"false",global_robust,4,1,3.524756432,1809.508422852,5.607244015,3079.250488281,54,24,1,4,0.010000000,0.003322259,0.000000000
7,0.472181350,-0.003904611,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.010982849,1.672714472,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,55,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:20|Reliability:11|Structural:12",1.580922246,6,2,15.368549347,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.940820634,0.996079981,0.029999999,0.000000000,0.059179366,0.001120000,68.133567810,"false",global_robust,2,1,1.662647724,15.368549347,0.000000000,0.000000000,9,4,1,4,0.010000000,0.003322259,0.000000000
8,0.472715616,0.000534264,0.000000000,0.000000000,0.000000000,0,1.000000000,4,0.426833242,1.415495872,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,2,8,"Refactor:4|Reliability:4",0.693147182,2,4,28.605699539,10.040869713,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.940820634,0.996079981,0.029999999,0.000000000,0.059179366,0.001120000,68.133567810,"false",global_robust,4,1,3.145552397,28.605699539,0.255458981,10.040869713,54,24,1,4,0.010000000,0.003322259,0.000000000
9,0.470035583,-0.002680037,0.000000000,0.000000000,0.000000000,0,1.000000000,7,8902.886718750,0.844651043,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,36,"ConstraintPropagation:2|Performance:2|Refactor:16|Reliability:10|Structural:6",1.336007357,5,7,1568.674438477,4137.998535156,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.933850765,0.996079981,0.038649999,0.000000000,0.066149220,0.001200000,68.133567810,"false",global_robust,7,1,95.869262695,1568.674438477,252.170455933,4137.998535156,189,84,1,4,0.010000000,0.003322259,0.000000000
10,0.467348129,-0.002687465,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.107167386,1.343413711,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,46,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:11|Structural:7",1.337492943,5,7,7.837196350,10.363026619,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.608280063,7.837196350,0.771329641,10.363026619,189,84,1,4,0.010000000,0.003322259,0.000000000
11,0.465087116,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.162332520,0.884518981,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.553886414,168.608032227,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.638783932,68.553886414,0.814712822,168.608032227,189,84,1,4,0.010000000,0.003322259,0.000000000
12,0.462826133,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159002453,0.880722761,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133399963,168.762344360,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.615708530,68.133399963,0.791513503,168.762344360,189,84,1,4,0.010000000,0.003322259,0.000000000
13,0.460565120,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159168497,0.876915634,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133445740,168.762329102,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.615917027,68.133445740,0.791704655,168.762329102,189,84,1,4,0.010000000,0.003322259,0.000000000
14,0.458304137,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.162508920,0.873096526,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.521072388,168.619949341,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.637524724,68.521072388,0.813358545,168.619949341,189,84,1,4,0.010000000,0.003322259,0.000000000
15,0.456043154,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159502208,0.869266868,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133544922,168.762298584,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.616341233,68.133544922,0.792094052,168.762298584,189,84,1,4,0.010000000,0.003322259,0.000000000
16,0.453782141,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159669906,0.865424395,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133590698,168.762283325,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.616557062,68.133590698,0.792292356,168.762283325,189,84,1,4,0.010000000,0.003322259,0.000000000
17,0.451521158,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.159838229,0.861568213,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133644104,168.762252808,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.616775513,68.133644104,0.792493224,168.762252808,189,84,1,4,0.010000000,0.003322259,0.000000000
18,0.449260145,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.160006925,0.857702315,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133697510,168.762237549,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.616996586,68.133697510,0.792696655,168.762237549,189,84,1,4,0.010000000,0.003322259,0.000000000
19,0.446999162,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.163583264,0.853823483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.554244995,168.607910156,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.640400529,68.554244995,0.816280186,168.607910156,189,84,1,4,0.010000000,0.003322259,0.000000000
20,0.444738150,-0.002260995,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.160346434,0.849930465,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,41,"ConstraintPropagation:3|Performance:3|Refactor:22|Reliability:10|Structural:3",1.252199054,5,7,68.133804321,168.762207031,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.936458468,0.996159971,0.038649999,0.000000000,0.063541539,0.001280000,68.133567810,"false",global_robust,7,1,0.617446184,68.133804321,0.793110847,168.762207031,189,84,1,4,0.010000000,0.003322259,0.000000000
