mode,alpha_setting,beam,collapse_ratio,min_nn_dist,mean_nn_dist,effective_dims,avg_alpha_observed,avg_weak_contrib
fixed,0.01,5,0.15,38.123750684,164.6929750771675,4,0.01,0.0029900331
fixed,0.01,8,0.0075,28.789966587800002,232.068385032105,4,0.01,0.0029900331
fixed,0.01,12,0.045,6.6921669596,59.248987336365,4,0.01,0.0026578072
fixed,0.05,5,0.15,37.9655699107,163.854413493745,4,0.050000001,0.014754097800000001
fixed,0.05,8,0.0075,27.1350374506,191.555704583295,4,0.050000001,0.014754097800000001
fixed,0.05,12,0.045,6.6625388317,58.973795574647504,4,0.050000001,0.013114753600000001
fixed,0.1,5,0.15,37.7650922392,163.9129178933625,4,0.100000001,0.029032257600000003
fixed,0.1,8,0.0075,26.9831689165,190.24981835308,4,0.100000001,0.029032257600000003
fixed,0.1,12,0.045,6.6242844814,58.6261664376675,4,0.100000001,0.025806451200000004
adaptive,0.01,5,0.15,38.123750684,164.6929750771675,4,0.014905627425,0.00459159946
adaptive,0.01,8,0.0075,28.789966587800002,232.068385032105,4,0.01015478202,0.0030409816750000002
adaptive,0.01,12,0.045,6.6921669596,59.248987336365,4,0.0106257698925,0.0028557081175
