depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,3,1.468770146,2.076587439,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,3,658.525207520,1140.599121094,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.036828022,0.500000000,0.996079981,0.000000000,0.007154640,0.000000000,0.000000000,112.131011963,false,"global_robust",3,3,3.086349726,658.525207520,5.345714569,1140.599121094,27,12,2,3
2,0.491517872,-0.004199362,0.000000000,0.000000000,0.000000000,0,1.000000000,9,2.035135746,2.748680830,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,47,"ConstraintPropagation:6|Cost:3|Performance:3|Refactor:14|Reliability:9|Structural:12",1.639872432,6,9,104.988769531,314.966308594,0.288328648,0.000000000,0.000000000,0.000000000,0.000000000,0.862749994,0.030932626,0.592262328,0.996079981,0.014550000,0.030932626,0.274745166,0.000600000,112.131011963,false,"global_robust",9,0,0.157593831,104.988769531,0.472781509,314.966308594,324,144,0,4
3,0.487531245,-0.003986626,0.000000000,0.000000000,0.000000000,0,1.000000000,15,1.531820059,0.082257330,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,81,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:28|Reliability:15|Structural:20",1.597325206,6,15,91.107429504,223.165695190,0.320016921,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.829778790,0.996079981,0.014550000,0.000000000,0.170221180,0.000600000,112.131011963,false,"global_robust",15,1,1.001995087,91.107429504,2.632235289,223.165695190,945,420,1,4
4,0.483733624,-0.003797644,0.000000000,0.000000000,0.000000000,0,1.000000000,10,2.339181662,0.369687974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:6|Cost:4|Performance:5|Refactor:28|Reliability:15|Structural:20",1.559528708,6,10,102.744323730,254.181030273,0.351398945,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.883922815,0.996159971,0.028650001,0.000000000,0.116077170,0.000600000,112.131011963,false,"global_robust",10,1,1.369773388,102.744323730,3.622704506,254.181030273,405,180,1,4
5,0.480015695,-0.003717924,0.000000000,0.000000000,0.000000000,0,1.000000000,5,0.953115165,2.115534067,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,75,"ConstraintPropagation:6|Cost:3|Performance:5|Refactor:28|Reliability:15|Structural:18",1.543584704,6,5,347.090606689,370.012847900,0.999999881,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,0.921744585,0.996159971,0.029100001,0.000000000,0.078255415,0.000600000,112.131011963,false,"global_robust",5,1,1.059129357,347.090606689,0.655636907,370.012847900,90,40,1,4
6,0.476362526,-0.003653164,0.000000000,0.000000000,0.000000000,0,1.000000000,5,2.678940296,1.818770647,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,60,"ConstraintPropagation:4|Cost:3|Performance:4|Refactor:24|Reliability:13|Structural:12",1.530632854,6,5,585.096984863,389.470153809,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,0.931911528,0.996159971,0.026957143,0.000000000,0.068088472,0.000640000,112.131011963,false,"global_robust",5,1,1.395808101,585.096984863,0.435337543,389.470153809,90,40,1,4
7,0.473022789,-0.003339725,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.229688719,1.206522584,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,57,"ConstraintPropagation:4|Cost:2|Performance:4|Refactor:26|Reliability:12|Structural:9",1.467944980,6,6,124.775390625,169.110549927,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.937782824,0.996680021,0.029999999,0.000000000,0.062217169,0.000840000,112.131011963,false,"global_robust",6,1,1.202653885,124.775390625,1.285064459,169.110549927,135,60,1,4
8,0.470102668,-0.002920130,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.069938563,4.533430099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,45,"ConstraintPropagation:3|Cost:1|Performance:3|Refactor:22|Reliability:11|Structural:5",1.384025931,6,8,83.037139893,223.700027466,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907299995,0.000000000,0.947753131,0.996760011,0.029999999,0.000000000,0.052246872,0.000840000,112.131011963,false,"global_robust",8,1,0.480268717,83.037139893,0.691929579,223.700027466,252,112,1,4
9,0.467334569,-0.002768092,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.161683813,9.123927116,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,49,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:26|Reliability:10|Structural:4",1.353618383,6,8,116.739364624,204.093154907,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.907750010,0.000000000,0.950776577,0.996840000,0.030449999,0.000000000,0.049223449,0.001200000,112.131011963,false,"global_robust",8,1,1.090294480,116.739364624,1.291302681,204.093154907,252,112,1,4
10,0.464566499,-0.002768092,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.456295192,10.681907654,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,49,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:26|Reliability:10|Structural:4",1.353618383,6,3,319.174468994,447.279022217,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",3,1,3.877145052,319.174468994,1.101492763,447.279022217,27,12,1,4
11,0.462732822,-0.001833666,0.000000000,0.000000000,0.000000000,0,1.000000000,9,3876.134765625,0.701915503,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,19,"ConstraintPropagation:1|Performance:1|Refactor:10|Reliability:6|Structural:1",1.166733265,5,9,704.954650879,1538.347045898,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",9,1,56.641094208,704.954650879,137.368408203,1538.347045898,324,144,1,4
12,0.459628463,-0.003104368,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.583389223,1.482128382,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,55,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:26|Reliability:12|Structural:8",1.420873642,6,6,148.722396851,208.672454834,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",6,1,1.203902483,148.722396851,0.875731885,208.672454834,135,60,1,4
13,0.456953943,-0.002674504,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.191386208,3.084753036,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,42,"ConstraintPropagation:3|Cost:1|Performance:3|Refactor:22|Reliability:10|Structural:3",1.334900737,6,7,130.969680786,196.450881958,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",7,1,1.430127740,130.969680786,1.034971476,196.450881958,189,84,1,4
14,0.454185843,-0.002768092,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.984360158,10.306618690,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,49,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:26|Reliability:10|Structural:4",1.353618383,6,6,184.884338379,191.181579590,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",6,1,2.632316828,184.884338379,2.804407120,191.181579590,135,60,1,4
15,0.451511353,-0.002674504,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.195600212,2.852390289,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,42,"ConstraintPropagation:3|Cost:1|Performance:3|Refactor:22|Reliability:10|Structural:3",1.334900737,6,7,70.469482422,153.510055542,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",7,1,1.127690554,70.469482422,0.830409288,153.510055542,189,84,1,4
16,0.448836863,-0.002674504,0.000000000,0.000000000,0.000000000,0,1.000000000,7,0.190420493,3.074286461,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,42,"ConstraintPropagation:3|Cost:1|Performance:3|Refactor:22|Reliability:10|Structural:3",1.334900737,6,7,132.291976929,195.640487671,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",7,1,1.509078264,132.291976929,1.111513019,195.640487671,189,84,1,4
17,0.446068764,-0.002768092,0.000000000,0.000000000,0.000000000,0,1.000000000,6,1.012272239,10.375706673,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,49,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:26|Reliability:10|Structural:4",1.353618383,6,6,185.800949097,190.931091309,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.911135733,0.000000000,0.951821387,0.996840000,0.048385713,0.000000000,0.048178617,0.001280000,112.131011963,false,"global_robust",6,1,2.667957067,185.800949097,2.842846394,190.931091309,135,60,1,4
