depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected
1,0.490000010,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,6,"ConstraintPropagation:1|Cost:1|Performance:1|Refactor:1|Reliability:1|Structural:1"
2,0.479999989,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,3,0.000282077,0.729427278,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,6,"ConstraintPropagation:1|Cost:1|Performance:1|Refactor:1|Reliability:1|Structural:1"
3,0.472709477,-0.007290509,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.060670115,0.799171329,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,18,"ConstraintPropagation:3|Cost:3|Performance:3|Refactor:3|Reliability:3|Structural:3"
4,0.462709486,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
5,0.452709496,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,3,0.001819319,0.694282293,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,6,"ConstraintPropagation:1|Cost:1|Performance:1|Refactor:1|Reliability:1|Structural:1"
6,0.442709506,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.057993095,0.908284664,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,18,"ConstraintPropagation:3|Cost:3|Performance:3|Refactor:3|Reliability:3|Structural:3"
7,0.432709485,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
8,0.422709495,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,2,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,6,"ConstraintPropagation:1|Cost:1|Performance:1|Refactor:1|Reliability:1|Structural:1"
9,0.412709504,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,12,"ConstraintPropagation:2|Cost:2|Performance:2|Refactor:2|Reliability:2|Structural:2"
10,0.402709484,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,30,"ConstraintPropagation:5|Cost:5|Performance:5|Refactor:5|Reliability:5|Structural:5"
