depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,pareto_mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,unique_category_count,category_entropy,pareto_front_size,field_total_us_required
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.004746891,0.870174885,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,6,0.222046733,0.345682800,0.779411793,306.582000732,8.458999634,300.832000732,316.585998535,6,1.656551123,6,316.585998535
2,0.491502851,-0.004214385,0.000000000,0.000000000,0.000000000,0,1.000000000,17,0.006003191,0.250532299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:10|Cost:5|Performance:5|Refactor:22|Reliability:15|Structural:21",1.642876983,6,17,0.093952365,0.193358123,0.818802595,546.789978027,13.331999779,538.750000000,563.416992188,6,1.642876983,17,563.416992188
3,0.487411946,-0.004090924,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.031585358,0.466466099,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,83,"ConstraintPropagation:10|Cost:5|Performance:5|Refactor:26|Reliability:15|Structural:22",1.618184805,6,6,0.144206792,0.161952630,0.850346506,561.206970215,13.456000328,552.125000000,577.250976562,6,1.618184805,6,577.250976562
4,0.483542174,-0.003869750,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.039242327,0.616209984,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,82,"ConstraintPropagation:7|Cost:5|Performance:5|Refactor:30|Reliability:15|Structural:20",1.573950052,6,8,0.123811215,0.167649209,0.818256319,540.710021973,13.416000366,531.874023438,556.708984375,6,1.573950052,8,556.708984375
5,0.479580998,-0.003961184,0.000000000,0.000000000,0.000000000,0,1.000000000,5,0.003964835,0.608486474,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,84,"ConstraintPropagation:9|Cost:5|Performance:5|Refactor:30|Reliability:15|Structural:20",1.592236757,6,5,0.252016783,0.376752913,0.875525415,654.294982910,13.039999962,642.877990723,670.291992188,6,1.592236757,5,670.291992188
6,0.475611508,-0.003969479,0.000000000,0.000000000,0.000000000,0,1.000000000,11,0.020153087,0.836499274,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,83,"ConstraintPropagation:9|Cost:5|Performance:5|Refactor:30|Reliability:15|Structural:19",1.593895793,6,11,0.046850976,0.081231803,1.000000000,544.083984375,11.501000404,536.249023438,558.416992188,6,1.593895793,11,558.416992188
7,0.471878797,-0.003732734,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.008788554,0.468941063,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,73,"ConstraintPropagation:8|Cost:3|Performance:5|Refactor:30|Reliability:13|Structural:14",1.546546817,6,6,0.177454412,0.434672773,1.000000000,372.954010010,11.536999702,363.459991455,386.997985840,6,1.546546817,6,386.997985840
8,0.469406068,-0.002472726,0.000000000,0.000000000,0.000000000,0,1.000000000,10,0.000801787,0.806395173,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,55,"ConstraintPropagation:5|Performance:5|Refactor:30|Reliability:10|Structural:5",1.294545174,5,10,0.039346948,0.124425977,1.000000000,203.873001099,11.623000145,193.917999268,218.085998535,5,1.294545174,10,218.085998535
9,0.468032926,-0.001373138,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.001422545,0.976432443,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,27,"ConstraintPropagation:1|Performance:1|Refactor:14|Reliability:10|Structural:1",1.074627519,5,3,0.158017725,0.273694724,1.000000000,171.873001099,11.416999817,163.919998169,185.792007446,5,1.074627519,3,185.792007446
10,0.465714782,-0.002318128,0.000000000,0.000000000,0.000000000,0,1.000000000,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,26,"ConstraintPropagation:2|Performance:2|Refactor:14|Reliability:6|Structural:2",1.263625622,5,1,0.000000000,0.000000000,1.000000000,193.666000366,11.538999557,184.251007080,207.873992920,5,1.263625622,1,207.873992920
