case_id,category,input_len,input_hash_prefix
A-001,A,37,4838ac05
A-002,A,48,313ecd6f
A-003,A,37,982f5974
A-004,A,35,95a98d39
A-005,A,35,ac9a916e
A-006,A,37,e7455aec
A-007,A,48,f4d72513
A-008,A,40,317cc7e3
A-009,A,37,3becca99
A-010,A,38,7f81a195
A-011,A,38,01f7714f
A-012,A,41,e42d1471
A-013,A,50,a2ffb54a
A-014,A,50,a1189d5f
A-015,A,38,513511d0
A-016,A,49,ebf719d3
A-017,A,36,fab6e525
A-018,A,49,74290457
A-019,A,38,cd405897
A-020,A,50,fa7306c8
B-001,B,39,e301fd7b
B-002,B,45,08a019b4
B-003,B,45,f6aecd76
B-004,B,45,721b1749
B-005,B,45,c9aa2f4a
B-006,B,45,0ee79344
B-007,B,37,d0839ecb
B-008,B,41,29d89a68
B-009,B,37,a8b83d55
B-010,B,35,f8b9514a
B-011,B,43,a3ba7711
B-012,B,38,1c3c1a91
B-013,B,40,aabea1af
B-014,B,46,e5e15d1c
B-015,B,38,801a56d2
B-016,B,40,8e1b2371
B-017,B,46,d5f2642e
B-018,B,40,3a96bf42
B-019,B,46,9f779b9e
B-020,B,38,6235a7d1
B-021,B,38,dea225db
B-022,B,46,3d41452a
B-023,B,38,7cc4a5c9
B-024,B,40,9ddaefa8
B-025,B,42,3ba475bd
C-001,C,34,4e319997
C-002,C,44,9a0e020b
C-003,C,34,f5453f1f
C-004,C,34,ed55d1f6
C-005,C,39,caa625de
C-006,C,43,82fa9d4a
C-007,C,43,33174071
C-008,C,45,e86ddca6
C-009,C,34,103d7bd2
C-010,C,35,7229e971
C-011,C,40,d9912e8f
C-012,C,44,c9f5a6dd
C-013,C,35,0722f816
C-014,C,35,38c59550
C-015,C,40,e0fb8a7c
C-016,C,46,40c19bec
C-017,C,44,254de41d
C-018,C,45,a894222e
C-019,C,46,af07da8d
C-020,C,35,396e822f
D-001,D,39,c20e41db
D-002,D,39,06705842
D-003,D,37,d2230a76
D-004,D,37,26660e00
D-005,D,37,f422fb19
D-006,D,37,3d3a6507
D-007,D,39,bba1cbb4
D-008,D,38,b8370345
D-009,D,38,4546ea0f
D-010,D,41,718bc697
D-011,D,35,fd6efcc2
D-012,D,40,1f5c72ba
D-013,D,40,ac70a52c
D-014,D,38,f4b64f57
D-015,D,41,4f9a0a5b
E-001,E,38,f47c9a21
E-002,E,38,aa4ffb32
E-003,E,38,d436e81f
E-004,E,38,9f183ed9
E-005,E,38,e9a67198
E-006,E,38,9abd2288
E-007,E,37,89ace0a3
E-008,E,38,b38fbd39
E-009,E,38,86faafc3
E-010,E,40,b3812e94
F-001,F,41,137fe8fb
F-002,F,33,f8cd8eb1
F-003,F,39,dfc36169
F-004,F,41,e209e485
F-005,F,39,c4e6685b
F-006,F,33,2de1657f
F-007,F,39,85097d73
F-008,F,41,a4758d31
F-009,F,36,1029c553
F-010,F,37,2d13236d
