mode,beam,objective,unique_level_count,depth_frequency
objective_only,5,o1,4,1
objective_only,5,o1,8,1
objective_only,5,o1,9,1
objective_only,5,o1,10,2
objective_only,5,o1,11,2
objective_only,5,o1,12,32
objective_only,5,o1,13,8
objective_only,5,o1,15,1
objective_only,5,o1,16,1
objective_only,5,o1,19,1
objective_only,5,o2,4,1
objective_only,5,o2,8,1
objective_only,5,o2,9,1
objective_only,5,o2,10,2
objective_only,5,o2,11,2
objective_only,5,o2,12,32
objective_only,5,o2,13,7
objective_only,5,o2,14,1
objective_only,5,o2,16,2
objective_only,5,o2,19,1
objective_only,8,o1,4,1
objective_only,8,o1,11,2
objective_only,8,o1,12,4
objective_only,8,o1,13,5
objective_only,8,o1,14,1
objective_only,8,o1,15,1
objective_only,8,o1,16,2
objective_only,8,o1,17,30
objective_only,8,o1,18,1
objective_only,8,o1,21,2
objective_only,8,o1,22,1
objective_only,8,o2,4,1
objective_only,8,o2,11,1
objective_only,8,o2,12,1
objective_only,8,o2,13,9
objective_only,8,o2,14,1
objective_only,8,o2,16,2
objective_only,8,o2,17,31
objective_only,8,o2,19,1
objective_only,8,o2,21,1
objective_only,8,o2,22,1
objective_only,8,o2,23,1
objective_only,12,o1,4,1
objective_only,12,o1,11,1
objective_only,12,o1,21,2
objective_only,12,o1,22,3
objective_only,12,o1,23,10
objective_only,12,o1,24,3
objective_only,12,o1,25,7
objective_only,12,o1,26,12
objective_only,12,o1,27,8
objective_only,12,o1,28,1
objective_only,12,o1,31,2
objective_only,12,o2,4,1
objective_only,12,o2,11,1
objective_only,12,o2,22,2
objective_only,12,o2,23,3
objective_only,12,o2,24,11
objective_only,12,o2,25,3
objective_only,12,o2,26,8
objective_only,12,o2,27,18
objective_only,12,o2,28,1
objective_only,12,o2,32,2
with_memory_v6_1,5,o1,6,1
with_memory_v6_1,5,o1,32,2
with_memory_v6_1,5,o1,36,3
with_memory_v6_1,5,o1,37,3
with_memory_v6_1,5,o1,38,3
with_memory_v6_1,5,o1,40,2
with_memory_v6_1,5,o1,41,1
with_memory_v6_1,5,o1,42,9
with_memory_v6_1,5,o1,43,19
with_memory_v6_1,5,o1,45,1
with_memory_v6_1,5,o1,50,1
with_memory_v6_1,5,o1,53,1
with_memory_v6_1,5,o1,64,1
with_memory_v6_1,5,o1,67,1
with_memory_v6_1,5,o1,69,1
with_memory_v6_1,5,o1,79,1
with_memory_v6_1,5,o2,7,1
with_memory_v6_1,5,o2,58,1
with_memory_v6_1,5,o2,60,1
with_memory_v6_1,5,o2,62,3
with_memory_v6_1,5,o2,63,1
with_memory_v6_1,5,o2,64,1
with_memory_v6_1,5,o2,65,1
with_memory_v6_1,5,o2,66,5
with_memory_v6_1,5,o2,67,2
with_memory_v6_1,5,o2,68,2
with_memory_v6_1,5,o2,70,1
with_memory_v6_1,5,o2,71,4
with_memory_v6_1,5,o2,72,5
with_memory_v6_1,5,o2,73,18
with_memory_v6_1,5,o2,74,2
with_memory_v6_1,5,o2,77,1
with_memory_v6_1,5,o2,80,1
with_memory_v6_1,8,o1,6,1
with_memory_v6_1,8,o1,58,2
with_memory_v6_1,8,o1,59,1
with_memory_v6_1,8,o1,61,2
with_memory_v6_1,8,o1,62,2
with_memory_v6_1,8,o1,63,2
with_memory_v6_1,8,o1,64,2
with_memory_v6_1,8,o1,68,3
with_memory_v6_1,8,o1,69,13
with_memory_v6_1,8,o1,73,16
with_memory_v6_1,8,o1,77,1
with_memory_v6_1,8,o1,80,1
with_memory_v6_1,8,o1,90,1
with_memory_v6_1,8,o1,111,1
with_memory_v6_1,8,o1,117,1
with_memory_v6_1,8,o1,119,1
with_memory_v6_1,8,o2,7,1
with_memory_v6_1,8,o2,100,1
with_memory_v6_1,8,o2,101,4
with_memory_v6_1,8,o2,102,4
with_memory_v6_1,8,o2,104,3
with_memory_v6_1,8,o2,105,1
with_memory_v6_1,8,o2,106,3
with_memory_v6_1,8,o2,107,14
with_memory_v6_1,8,o2,108,16
with_memory_v6_1,8,o2,125,1
with_memory_v6_1,8,o2,126,1
with_memory_v6_1,8,o2,127,1
with_memory_v6_1,12,o1,6,1
with_memory_v6_1,12,o1,96,1
with_memory_v6_1,12,o1,101,2
with_memory_v6_1,12,o1,103,2
with_memory_v6_1,12,o1,104,2
with_memory_v6_1,12,o1,106,3
with_memory_v6_1,12,o1,108,2
with_memory_v6_1,12,o1,109,2
with_memory_v6_1,12,o1,110,3
with_memory_v6_1,12,o1,111,13
with_memory_v6_1,12,o1,112,9
with_memory_v6_1,12,o1,113,2
with_memory_v6_1,12,o1,116,1
with_memory_v6_1,12,o1,127,1
with_memory_v6_1,12,o1,132,1
with_memory_v6_1,12,o1,135,1
with_memory_v6_1,12,o1,153,1
with_memory_v6_1,12,o1,157,1
with_memory_v6_1,12,o1,166,1
with_memory_v6_1,12,o1,169,1
with_memory_v6_1,12,o2,7,1
with_memory_v6_1,12,o2,163,1
with_memory_v6_1,12,o2,164,1
with_memory_v6_1,12,o2,165,2
with_memory_v6_1,12,o2,166,1
with_memory_v6_1,12,o2,168,2
with_memory_v6_1,12,o2,171,2
with_memory_v6_1,12,o2,172,2
with_memory_v6_1,12,o2,173,5
with_memory_v6_1,12,o2,174,4
with_memory_v6_1,12,o2,175,11
with_memory_v6_1,12,o2,176,15
with_memory_v6_1,12,o2,186,1
with_memory_v6_1,12,o2,189,1
with_memory_v6_1,12,o2,192,1
