depth,n,var_o1,var_o2,unique_level_count_o1,unique_level_count_o2,mad0_o1,mad0_o2
1,15,0.00011235337927730321,0.0028749546587310357,6,7,1,1
2,78,0.000180111943049945,0.0061929964638596305,50,58,0,0
3,78,0.0003143123583899543,0.01995406610948443,64,74,0,0
4,78,0.00035856552795003805,0.021113598433021425,67,70,0,0
5,81,0.0002902343241992293,0.022232003438860552,79,80,0,0
6,77,0.024742345818301825,0.034876836275963906,69,77,0,0
7,63,0.04618322941271513,0.04015888031179897,53,63,0,0
8,60,0.147281534000809,0.06071454418717875,45,60,0,0
9,67,0.17808215524170998,0.07193625210822006,43,67,0,0
10,66,0.17012233722988898,0.06603388496770907,38,66,0,0
11,66,0.17341365057378186,0.06644210090049998,38,66,0,0
12,66,0.17524827067716073,0.06608403614672267,36,66,0,0
13,66,0.17531211449094353,0.0660953841797247,36,66,0,0
14,66,0.17534842542414225,0.06611586038424118,36,66,0,0
15,62,0.1571110181199663,0.07482784776046501,32,62,0,0
16,62,0.15723776961518784,0.07150813096514973,32,62,0,0
17,65,0.16445547872793442,0.06939058613960639,37,65,0,0
18,69,0.17696265592603838,0.07388291428294697,38,68,0,0
19,71,0.16589113651460421,0.0734467197474534,42,71,0,0
20,67,0.15466281775387264,0.047878169307168074,37,67,0,0
21,68,0.15523129812547945,0.04915228330766832,37,68,0,0
22,71,0.16218834215325156,0.05128413698034921,40,71,0,0
23,73,0.16666193505709206,0.0554758384191178,42,73,0,0
24,72,0.16618796315728063,0.06551235348566001,42,72,0,0
25,72,0.16557051594228056,0.06635657378584803,42,72,0,0
26,72,0.16575595526277126,0.06637087115928168,42,72,0,0
27,73,0.16614265274162474,0.06884252531940674,43,73,0,0
28,73,0.1662320417150384,0.07121650712557528,43,73,0,0
29,73,0.166233255376604,0.07121636697388589,43,73,0,0
30,73,0.16623313606715379,0.07121655218784152,43,73,0,0
31,73,0.16625321667092094,0.07313172999060287,43,73,0,0
32,73,0.16625667803523944,0.07313053298192619,43,73,0,0
33,73,0.1662431764203994,0.07468616758470682,43,73,0,0
34,73,0.1662545768164438,0.07295383869876788,43,73,0,0
35,73,0.16625157580942765,0.07295493253200852,43,73,0,0
36,73,0.16637151454133403,0.07392272550448788,43,73,0,0
37,73,0.16635381552213496,0.07535894785555163,43,73,0,0
38,73,0.16688768305647983,0.08162907763409208,43,73,0,0
39,73,0.16689580011364993,0.08162519713028354,43,73,0,0
40,73,0.16689589518324296,0.08162516132203858,43,73,0,0
41,73,0.16678980097770424,0.0824796349948819,43,73,0,0
42,73,0.16679244567307555,0.08247903949504332,43,73,0,0
43,73,0.16668220896697108,0.08320711972496106,43,73,0,0
44,74,0.168582951458393,0.08236544510259901,43,74,0,0
45,64,0.16383266267462923,0.08679815732093163,41,64,0,0
46,72,0.17024291241070993,0.08402883865280274,42,72,0,0
47,62,0.1647091011260676,0.08867571087462357,40,62,0,0
48,72,0.16994842952112418,0.08436764355206113,42,72,0,0
49,71,0.16864031240954339,0.08559511777246347,42,71,0,0
50,71,0.16863831914190436,0.08560238436655924,42,71,0,0
