depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.004746891,0.870174885,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,6,6.977755070,16.838558197,0.000000000,306.167999268,7.915999889,305.040985107,315.875000000,0.877300024,0.069782473,0.500000000,0.996079981,0.000000000,0.048838638,0.000000000,0.000000000,2.884950638,false,"global_robust"
2,0.491502851,-0.004214385,0.000000000,0.000000000,0.000000000,0,1.000000000,17,0.006003191,0.250532299,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:10|Cost:5|Performance:5|Refactor:22|Reliability:15|Structural:21",1.642876983,6,17,3.536582708,8.058317184,0.000000000,529.083007812,13.206000328,527.210021973,545.456970215,0.877300024,0.000000000,1.000000000,0.996079981,0.009021428,0.000000000,0.000000000,0.000600000,2.884950638,false,"global_robust"
3,0.487429470,-0.004073385,0.000000000,0.000000000,0.000000000,0,1.000000000,20,0.004944673,0.141905531,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,79,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:24|Reliability:15|Structural:22",1.614677072,6,20,2.226165771,6.076382160,0.000000000,577.960021973,13.376000404,576.080017090,594.460998535,0.877300024,0.000000000,1.000000000,0.996079981,0.014550000,0.000000000,0.000000000,0.000600000,2.884950638,false,"global_robust"
4,0.483474255,-0.003955205,0.000000000,0.000000000,0.000000000,0,1.000000000,13,0.013332050,0.428569585,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,79,"ConstraintPropagation:8|Cost:4|Performance:5|Refactor:26|Reliability:15|Structural:21",1.591041088,6,13,3.960354090,9.757323265,0.499999970,559.586975098,13.208999634,557.663024902,576.088012695,0.877300024,0.000000000,1.000000000,0.995999992,0.029100001,0.000000000,0.000000000,0.000680000,2.884950638,false,"global_robust"
5,0.479696482,-0.003777774,0.000000000,0.000000000,0.000000000,0,1.000000000,1,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,76,"ConstraintPropagation:7|Cost:3|Performance:5|Refactor:28|Reliability:15|Structural:18",1.555554867,6,1,0.000000000,0.000000000,0.000000000,479.998992920,13.375000000,478.041992188,496.458007812,0.883899987,0.000000000,1.000000000,0.995999992,0.027235715,0.000000000,0.000000000,0.000840000,2.884950638,false,"global_robust"
6,0.483696491,0.004000000,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.039999999,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,1,2,"Reliability:2",-0.000000000,1,2,40.019329071,0.000000000,0.499999970,14.291999817,1.082999945,14.123999596,15.583999634,0.883899987,0.000000000,1.000000000,0.995999992,0.027235715,0.000000000,0.000000000,0.000840000,2.884950638,false,"global_robust"
7,0.480737805,-0.002958699,0.000000000,0.000000000,0.000000000,0,1.000000000,3,0.044786695,0.790463269,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,16,"ConstraintPropagation:1|Performance:1|Refactor:6|Reliability:5|Structural:3",1.391739726,5,3,11.648814201,20.176338196,0.499999970,113.541999817,7.333000183,112.499000549,122.626998901,0.883899987,0.000000000,1.000000000,0.996079981,0.027235715,0.000000000,0.000000000,0.000760000,2.884950638,false,"global_robust"
8,0.477483779,-0.003254025,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.017593607,0.814087033,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,28,"ConstraintPropagation:2|Performance:2|Refactor:8|Reliability:8|Structural:8",1.450805068,5,6,9.417689323,12.929693222,0.999999881,200.667999268,11.630000114,198.873992920,214.787994385,0.883899987,0.000000000,1.000000000,0.996079981,0.035250001,0.000000000,0.000000000,0.001200000,2.884950638,false,"global_robust"
9,0.473930478,-0.003553294,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.000559619,0.710441530,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,56,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:18|Reliability:13|Structural:16",1.510658741,6,8,2.884950638,8.126798630,0.999993801,237.123992920,11.456999779,235.375000000,251.292007446,0.883899987,0.000000000,1.000000000,0.996159971,0.036600001,0.000000000,0.000000000,0.001280000,2.884950638,false,"global_robust"
10,0.470946193,-0.002984297,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.000796998,0.585259974,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,50,"ConstraintPropagation:4|Cost:2|Performance:4|Refactor:26|Reliability:10|Structural:4",1.396859288,6,8,2.633270264,7.421111584,0.999992430,218.708999634,11.458000183,217.123001099,232.878005981,0.907750010,0.000000000,0.997706711,0.996760011,0.045000002,0.000000000,0.002293274,0.001280000,2.884950638,false,"global_robust"
