depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us
1,0.490000010,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,3,0.033505790,0.744885921,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
2,0.479999989,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.014453786,0.677547455,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
3,0.477911204,-0.002088796,0.140000001,1.000000000,1.000000000,2,1.087712526,21,0.003868743,0.654186487,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
4,0.487911195,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,21,0.006377262,0.780114710,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
5,0.490390092,0.002478889,0.140000001,1.000000000,1.000000000,2,1.087712526,18,0.012419218,0.763075888,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
6,0.480961412,-0.009428687,0.140000001,1.000000000,1.000000000,2,1.087712526,14,0.021427168,0.801792562,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
7,0.479691654,-0.001269761,0.140000001,1.000000000,1.000000000,2,1.087712526,18,0.009732150,0.872438550,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
8,0.482121348,0.002429697,0.140000001,1.000000000,1.000000000,2,1.087712526,24,0.012649173,0.849294424,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
9,0.472121328,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,22,0.021710768,0.966461241,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
10,0.462121338,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,23,0.005221777,0.948510110,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
11,0.452121347,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.021814449,0.850602865,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
12,0.442121357,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.010847891,0.893331230,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
13,0.432121336,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.033043455,0.905175865,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
14,0.422121346,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,17,0.041191127,0.881246090,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
15,0.412121356,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.000000000,1.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000
