depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count
1,0.490000010,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,2,0.037694015,0.808664441,0.000000000,0.000000000,0.500000000,0.500000000,0.000000000,0.000000000,2
2,0.479999989,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.009818067,0.725005686,0.151874512,0.015187451,0.517441869,0.482558161,0.000000000,0.000000000,6
3,0.471032619,-0.008967371,0.140000001,1.000000000,1.000000000,2,1.087712526,12,0.007057166,0.648668110,0.612073243,0.061207321,0.549379528,0.450620472,0.000000000,0.000000000,22
4,0.479331046,0.008298426,0.140000001,1.000000000,1.000000000,2,1.087712526,17,0.006894751,0.745311379,0.702676773,0.070267677,0.562065721,0.437934250,0.000000000,0.000000000,24
5,0.489331067,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.021128498,0.778772175,0.708406270,0.070840627,0.554625034,0.445374936,0.000000000,0.000000000,30
6,0.491514027,0.002182960,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.018738052,0.879649580,0.347696632,0.034769665,0.527682841,0.472317189,0.000000000,0.000000000,27
7,0.497424096,0.005910076,0.140000001,1.000000000,1.000000000,2,1.087712526,11,0.014500321,0.833453655,0.391839653,0.039183963,0.527745426,0.472254544,0.000000000,0.000000000,27
8,0.498457462,0.001033370,0.140000001,1.000000000,1.000000000,2,1.087712526,20,0.003000968,0.702384770,0.484316796,0.048431680,0.526666999,0.473333001,0.000000000,0.000000000,28
9,0.501723588,0.003266143,0.140000001,1.000000000,1.000000000,2,1.087712526,10,0.007883439,0.774189591,0.860666275,0.086066633,0.544443071,0.455556899,0.000000000,0.000000000,29
10,0.511723578,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,16,0.006433744,0.630313456,0.674238145,0.067423813,0.532104492,0.467895478,0.000000000,0.000000000,35
11,0.521723628,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,13,0.009391287,0.754819512,0.724924922,0.072492488,0.525372505,0.474627495,0.000000000,0.000000000,37
12,0.531723619,0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,5,0.021597154,0.592871904,0.625274599,0.062527455,0.510898471,0.489101559,0.000000000,0.000000000,39
13,0.534782171,0.003058553,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.036180109,0.586456180,0.339643836,0.033964384,0.486336052,0.513663948,4.232677460,0.000000000,33
14,0.541791260,0.007009109,0.140000001,1.000000000,1.000000000,2,1.087712526,7,0.020594014,0.685838282,0.163816988,0.016381700,0.473978490,0.526021540,4.232677460,0.000000000,28
15,0.543064177,0.001272912,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.009823459,0.674233019,0.357113808,0.035711382,0.477556854,0.522443175,4.232677460,0.000000000,27
16,0.533064187,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.004542083,0.765339255,0.611908197,0.061190821,0.490166366,0.509833634,4.232677460,0.000000000,19
17,0.523064196,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,8,0.014551155,0.785486519,0.796837807,0.079683781,0.509412408,0.490587622,13.387390137,0.000000000,15
18,0.513064206,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,9,0.017576557,0.733219445,0.483087361,0.048308738,0.502204418,0.497795612,4.232677460,0.000000000,15
19,0.504261494,-0.008802696,0.140000001,1.000000000,1.000000000,2,1.087712526,7,0.026473507,0.714151144,0.415269375,0.041526940,0.508241832,0.491758198,4.232677460,0.000000000,12
20,0.499273062,-0.004988413,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.028054005,0.780662537,0.266155303,0.026615528,0.509159684,0.490840286,4.232677460,0.000000000,12
21,0.493092448,-0.006180619,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.245931998,0.024593201,0.513005674,0.486994356,4.232677460,0.000000000,19
22,0.483092457,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.521188140,0.478811860,4.232677460,0.000000000,19
23,0.473092437,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.530898511,0.469101459,4.232677460,0.000000000,19
24,0.463092446,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.540608943,0.459391087,4.232677460,0.000000000,19
25,0.453092456,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.550319314,0.449680686,4.232677460,0.000000000,19
26,0.443092465,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.560029685,0.439970315,4.232677460,0.000000000,19
27,0.433092445,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.569740057,0.430259913,4.232677460,0.000000000,19
28,0.423092455,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.579450488,0.420549542,4.232677460,0.000000000,19
29,0.413092464,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.589160860,0.410839140,4.232677460,0.000000000,19
30,0.403092444,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.598871231,0.401128739,4.232677460,0.000000000,19
31,0.393092453,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.608581662,0.391418368,4.232677460,0.000000000,19
32,0.383092463,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.618292034,0.381707966,4.232677460,0.000000000,19
33,0.373092443,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.628002405,0.371997595,4.232677460,0.000000000,19
34,0.363092452,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.637712777,0.362287194,4.232677460,0.000000000,19
35,0.353092462,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.647423208,0.352576822,4.232677460,0.000000000,19
36,0.343092442,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.657133579,0.342866421,4.232677460,0.000000000,19
37,0.333092451,-0.010000000,0.140000001,1.000000000,1.000000000,2,1.087712526,6,0.024784191,0.780662537,0.289613068,0.028961306,0.666843951,0.333156049,4.232677460,0.000000000,19
