variant,depth,beam_index,rule_id,objective_vector_raw,objective_vector_norm
Base,1,0,000000000000000000000000000003ed,"0.868278571|0.132848129|0.500000000|0.995320000","0.830331850|0.346335512|0.000000000|-2.111436950"
Base,1,1,000000000000000000000000000003ea,"0.847300000|0.129864126|0.500000000|0.996000000","0.000000000|-0.346335512|0.000000000|-0.117302053"
Base,1,2,000000000000000000000000000003f8,"0.847300000|0.129864126|0.500000000|0.996000000","0.000000000|-0.346335512|0.000000000|-0.117302053"
Base,1,3,000000000000000000000000000003f9,"0.877300000|0.069782473|0.500000000|0.996080000","1.187399990|-14.292980670|0.000000000|0.117302053"
Base,1,4,000000000000000000000000000003fb,"0.817750000|0.138478056|0.500000000|0.996680000","-1.169588990|1.653200232|0.000000000|1.876832845"
Base,2,0,000000000000000000000000000003ed,"0.883900000|0.146198392|1.000000000|0.994640000","1.731399528|0.903650942|0.000000000|-2.184087363"
Base,2,1,000000000000000000000000000003f2,"0.911135714|0.064805493|1.000000000|0.995480000","4.750067293|-4.558219406|0.000000000|-0.873634945"
Base,2,2,000000000000000000000000000003fa,"0.868278571|0.132848129|1.000000000|0.995320000","0.000000000|0.007781552|0.000000000|-1.123244930"
Base,2,3,000000000000000000000000000003f8,"0.868278571|0.132848129|1.000000000|0.995320000","0.000000000|0.007781552|0.000000000|-1.123244930"
Base,2,4,000000000000000000000000000003ed,"0.868278571|0.132848129|1.000000000|0.995320000","0.000000000|0.007781552|0.000000000|-1.123244930"
Base,3,0,000000000000000000000000000003eb,"0.895950000|0.155499339|1.000000000|0.993960000","0.442417535|1.569317175|0.000000000|-2.917466411"
Base,3,1,000000000000000000000000000003f2,"0.932114286|0.074821115|1.000000000|0.994880000","1.770194643|-3.369581719|0.000000000|-1.151631478"
Base,3,2,000000000000000000000000000003ed,"0.883900000|0.146198392|1.000000000|0.994640000","0.000000000|0.999938783|0.000000000|-1.612284069"
Base,3,3,000000000000000000000000000003f8,"0.883900000|0.146198392|1.000000000|0.994640000","0.000000000|0.999938783|0.000000000|-1.612284069"
Base,3,4,000000000000000000000000000003ed,"0.883900000|0.146198392|1.000000000|0.994640000","0.000000000|0.999938783|0.000000000|-1.612284069"
Base,4,0,000000000000000000000000000003f5,"0.945950000|0.082580596|1.000000000|0.994280000","3.292351397|-4.984153495|0.000000000|-1.493775934"
