variant,depth,corr_matrix_flat,mean_nn_dist,spacing,pareto_front_size,collapse_flag
Base,1,"1.000000|-0.701693|0.000000|-0.807785|-0.701693|1.000000|0.000000|0.147310|0.000000|0.000000|1.000000|0.000000|-0.807785|0.147310|0.000000|1.000000",2.711251049,5.603827149,6,false
Base,2,"1.000000|-0.542705|-0.224050|-0.743173|-0.542705|1.000000|0.301180|-0.104021|-0.224050|0.301180|1.000000|0.192194|-0.743173|-0.104021|0.192194|1.000000",28904.611669385,115614.213748260,16,false
Base,3,"1.000000|-0.581716|-0.238819|-0.352157|-0.581716|1.000000|0.057501|-0.504429|-0.238819|0.057501|1.000000|-0.104380|-0.352157|-0.504429|-0.104380|1.000000",8379.061787376,34546.174811660,17,false
Base,4,"1.000000|-0.814264|-0.263947|-0.171103|-0.814264|1.000000|0.041482|-0.367392|-0.263947|0.041482|1.000000|-0.097465|-0.171103|-0.367392|-0.097465|1.000000",4522.244094093,20029.303138432,21,false
Base,5,"1.000000|-0.807051|-0.024063|0.160286|-0.807051|1.000000|-0.289238|-0.568138|-0.024063|-0.289238|1.000000|0.055723|0.160286|-0.568138|0.055723|1.000000",336.340013668,1481.649760655,23,false
Base,6,"1.000000|-0.311195|-0.102744|0.238902|-0.311195|1.000000|-0.431334|-0.881679|-0.102744|-0.431334|1.000000|0.317034|0.238902|-0.881679|0.317034|1.000000",3101.434191631,6897.459717746,11,false
Base,7,"1.000000|-0.787518|-0.236181|0.201512|-0.787518|1.000000|-0.037718|-0.243613|-0.236181|-0.037718|1.000000|-0.239649|0.201512|-0.243613|-0.239649|1.000000",4183.795923246,11076.754152113,21,false
Base,8,"1.000000|-0.829695|-0.479823|0.503485|-0.829695|1.000000|0.325037|-0.656343|-0.479823|0.325037|1.000000|-0.180268|0.503485|-0.656343|-0.180268|1.000000",6283.734763874,11292.997344526,14,false
Base,9,"1.000000|-0.909240|0.032650|0.679196|-0.909240|1.000000|-0.064597|-0.733628|0.032650|-0.064597|1.000000|-0.032190|0.679196|-0.733628|-0.032190|1.000000",3439.316592618,7908.138113498,17,false
Base,10,"1.000000|0.577435|0.000000|-0.463049|0.577435|1.000000|0.000000|-0.990092|0.000000|0.000000|1.000000|0.000000|-0.463049|-0.990092|0.000000|1.000000",0.381220668,0.617141297,10,false
Base,11,"1.000000|-0.607731|0.000000|0.635714|-0.607731|1.000000|0.000000|-0.994816|0.000000|0.000000|1.000000|0.000000|0.635714|-0.994816|0.000000|1.000000",2407.338851299,4053.685457644,14,false
Base,12,"1.000000|-0.355698|0.000000|0.407352|-0.355698|1.000000|0.000000|-0.994306|0.000000|0.000000|1.000000|0.000000|0.407352|-0.994306|0.000000|1.000000",1.115430782,1.477075559,12,false
Base,13,"1.000000|-0.857874|0.000000|0.871299|-0.857874|1.000000|0.000000|-0.998777|0.000000|0.000000|1.000000|0.000000|0.871299|-0.998777|0.000000|1.000000",0.448876707,0.725074454,10,false
Base,14,"1.000000|-0.544537|-0.010002|0.582538|-0.544537|1.000000|0.193144|-0.992573|-0.010002|0.193144|1.000000|-0.172390|0.582538|-0.992573|-0.172390|1.000000",4340.204656857,16237.962703158,14,false
Base,15,"1.000000|-0.685027|0.000000|0.824909|-0.685027|1.000000|0.000000|-0.940202|0.000000|0.000000|1.000000|0.000000|0.824909|-0.940202|0.000000|1.000000",1646.539782066,3430.848838223,13,false
Base,16,"1.000000|-0.363651|0.000000|0.498616|-0.363651|1.000000|0.000000|-0.979763|0.000000|0.000000|1.000000|0.000000|0.498616|-0.979763|0.000000|1.000000",4.558182152,6.582181002,8,false
