depth,lambda,delta_lambda,tau_prime,conf_chm,density,k,h_profile,pareto_size,diversity,resonance_avg,pressure,epsilon_effect,target_local_weight,target_global_weight,local_global_distance,field_min_distance,field_rejected_count,mu,dhm_k,dhm_norm,dhm_resonance_mean,dhm_score_ratio,dhm_build_us,expanded_categories_count,selected_rules_count,per_category_selected,entropy_per_depth,unique_category_count_per_depth,pareto_front_size_per_depth,mean_nn_dist,pareto_spacing,pareto_hv_2d,field_extract_us,field_score_us,field_aggregate_us,field_total_us,norm_median_0,norm_median_1,norm_median_2,norm_median_3,norm_mad_0,norm_mad_1,norm_mad_2,norm_mad_3,median_nn_dist_all_depth,collapse_flag,normalization_mode,unique_norm_vec_count,norm_dim_mad_zero_count,mean_nn_dist_raw,mean_nn_dist_norm,pareto_spacing_raw,pareto_spacing_norm,distance_calls,nn_distance_calls,weak_dim_count,effective_dim_count,alpha_t,weak_contrib_ratio,collapse_proxy
1,0.495717257,-0.004282756,0.000000000,0.000000000,0.000000000,0,1.000000000,6,0.034445666,1.094147801,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,15,"ConstraintPropagation:2|Cost:1|Performance:1|Refactor:4|Reliability:3|Structural:4",1.656551123,6,6,306.876739502,660.134094238,0.279411763,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.069782473,0.500000000,0.996079981,0.000000000,0.048838638,0.000000000,0.000000000,90.120002747,"false",global_robust,6,3,0.635527492,306.876739502,0.984656334,660.134094238,135,60,2,3,0.250000000,0.333333343,0.000000000
2,0.491502851,-0.004214385,0.000000000,0.000000000,0.000000000,0,1.000000000,17,0.904561996,0.451821476,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:10|Cost:5|Performance:5|Refactor:22|Reliability:15|Structural:21",1.642876983,6,17,188.207626343,403.540100098,0.318802595,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,1.000000000,0.996079981,0.009021428,0.000000000,0.000000000,0.000600000,90.120002747,"false",global_robust,17,2,0.911818087,188.207626343,2.162353516,403.540100098,1224,544,2,4,0.250000000,0.200000003,0.000000000
3,0.487467498,-0.004035374,0.000000000,0.000000000,0.000000000,0,1.000000000,18,0.496018618,0.013590722,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,80,"ConstraintPropagation:8|Cost:5|Performance:5|Refactor:26|Reliability:15|Structural:21",1.607074857,6,18,288.564300537,490.333984375,0.359207302,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,1.000000000,0.996079981,0.014550000,0.000000000,0.000000000,0.000600000,90.120002747,"false",global_robust,18,2,0.711280406,288.564300537,1.633825541,490.333984375,1377,612,2,4,0.250000000,0.200000003,0.000000000
4,0.483560860,-0.003906623,0.000000000,0.000000000,0.000000000,0,1.000000000,16,0.686910629,0.671934724,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:7|Cost:4|Performance:5|Refactor:26|Reliability:15|Structural:21",1.581324577,6,16,162.074523926,283.353668213,0.897215247,0.000000000,0.000000000,0.000000000,0.000000000,0.877300024,0.000000000,1.000000000,0.996079981,0.029100001,0.000000000,0.000000000,0.000680000,90.120002747,"false",global_robust,16,2,0.842801809,162.074523926,1.776968956,283.353668213,1080,480,2,4,0.250000000,0.200000003,0.000000000
5,0.479589731,-0.003971120,0.000000000,0.000000000,0.000000000,0,1.000000000,1,0.000000000,3.259012938,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,78,"ConstraintPropagation:8|Cost:4|Performance:5|Refactor:26|Reliability:15|Structural:20",1.594224095,6,1,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.883899987,0.000000000,1.000000000,0.996079981,0.027235715,0.000000000,0.000000000,0.000760000,90.120002747,"false",global_robust,1,2,0.000000000,0.000000000,0.000000000,0.000000000,0,0,2,4,0.250000000,0.200000003,0.000000000
6,0.483589739,0.004000000,0.000000000,0.000000000,0.000000000,0,1.000000000,2,0.159999996,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,1,2,"Reliability:2",-0.000000000,1,2,1665.078735352,0.000000000,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.883899987,0.000000000,1.000000000,0.996079981,0.027235715,0.000000000,0.000000000,0.000760000,90.120002747,"false",global_robust,2,2,3.464101553,1665.078735352,0.000000000,0.000000000,9,4,2,4,0.250000000,0.200000003,0.000000000
7,0.480631053,-0.002958699,0.000000000,0.000000000,0.000000000,0,1.000000000,3,28015.951171875,1.789437175,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,16,"ConstraintPropagation:1|Performance:1|Refactor:6|Reliability:5|Structural:3",1.391739726,5,3,13980.972656250,6083.627929688,0.500000000,0.000000000,0.000000000,0.000000000,0.000000000,0.883899987,0.000000000,1.000000000,0.996079981,0.027235715,0.000000000,0.000000000,0.000760000,90.120002747,"false",global_robust,3,2,444.590606689,13980.972656250,194.243881226,6083.627929688,27,12,2,4,0.250000000,0.200000003,0.000000000
8,0.477377027,-0.003254025,0.000000000,0.000000000,0.000000000,0,1.000000000,6,3636.278076172,0.919507086,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,5,28,"ConstraintPropagation:2|Performance:2|Refactor:8|Reliability:8|Structural:8",1.450805068,5,6,988.582885742,1090.476806641,0.999999881,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,1.000000000,0.996079981,0.026957143,0.000000000,0.000000000,0.001200000,90.120002747,"false",global_robust,6,2,15.090990067,988.582885742,33.253021240,1090.476806641,135,60,2,4,0.250000000,0.200000003,0.000000000
9,0.473823726,-0.003553294,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.034204911,1.328412414,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,56,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:18|Reliability:13|Structural:16",1.510658741,6,8,86.536315918,237.292327881,0.999999344,0.000000000,0.000000000,0.000000000,0.000000000,0.889707148,0.000000000,1.000000000,0.996159971,0.041507144,0.000000000,0.000000000,0.001280000,90.120002747,"false",global_robust,8,2,0.772983253,86.536315918,0.543295026,237.292327881,252,112,2,4,0.250000000,0.200000003,0.000000000
10,0.471055627,-0.002768092,0.000000000,0.000000000,0.000000000,0,1.000000000,8,0.088007227,6.882905483,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0.000000000,0,0.000000000,0.000000000,1.000000000,0.000000000,6,49,"ConstraintPropagation:4|Cost:1|Performance:4|Refactor:26|Reliability:10|Structural:4",1.353618383,6,8,68.371459961,172.414138794,0.999999940,0.000000000,0.000000000,0.000000000,0.000000000,0.906400025,0.000000000,1.000000000,0.996760011,0.043650001,0.000000000,0.000000000,0.001280000,90.120002747,"false",global_robust,8,2,1.277591109,68.371459961,1.454520345,172.414138794,252,112,2,4,0.250000000,0.200000003,0.000000000
